doc_id,category,source_doc,source_file,edition,kind,section,article_no,article_title,part,parts,page_start,page_end,evidence_type,status,content_hash,content
RULE_COMMON_BR_CHANGELOG_2026,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,CHANGELOG,2026 변경 요약,CHANGELOG-2026,2026년 공식야구규칙 변경 요약사항,1,1,7,7,OFFICIAL,CONFIRMED,80eeab3308de3815,"[공식야구규칙 2026] 2026 변경 요약 > 2026년 공식야구규칙 변경 요약사항
2026년 공식야구규칙에서 바뀐 내용 (변경 전 → 변경 후):
- 야구도량형: 라인의 폭 3인치 → 라인의 폭 4인치(KBO)
- 수비위치 5.02(C): (신설) → 수비 시프트 제한 강화"
RULE_COMMON_BR_1.01,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.01,,1,1,25,25,OFFICIAL,CONFIRMED,aeddb93a88ba95a6,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.01
야구는 펜스로 둘러싸인 경기장에서 감독이 지휘하는 9명의 선수로 구성된 두 팀이 한 명 이상의 심판원의 주재 아래 이 규칙에 따라 치르는 경기이다(지명타자 제도를 채택한 경우 10명이 된다)."
RULE_COMMON_BR_1.02,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.02,,1,1,25,25,OFFICIAL,CONFIRMED,498b0491c7883a41,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.02
공격팀의 목적은 타자가 주자가 되고 주자를 진루시키는 것이다."
RULE_COMMON_BR_1.03,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.03,,1,1,25,25,OFFICIAL,CONFIRMED,62e4f3e2b256e49f,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.03
수비팀의 목적은 상대팀의 타자가 주자가 되는 것을 막고 주자가 되었다면 진루를 막는 것이다."
RULE_COMMON_BR_1.04,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.04,,1,1,25,25,OFFICIAL,CONFIRMED,107ce5704b90fb08,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.04
타자가 주자가 되어 모든 베이스에 정상적으로 닿으면 그 팀에 1점이기록된다."
RULE_COMMON_BR_1.05,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.05,,1,1,25,25,OFFICIAL,CONFIRMED,1bb85da453604a2e,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.05
각 팀의 목적은 상대팀보다 많이 득점하여 승리하는 데에 있다."
RULE_COMMON_BR_1.06,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,1.00 경기의 목적,1.06,,1,1,25,25,OFFICIAL,CONFIRMED,7b6799cd3f13e584,"[공식야구규칙 2026] 1.00 경기의 목적 > 1.06
정식경기가 끝났을 때 이 규칙에 따라 더 많이 득점한 팀이 승자가 된다."
RULE_COMMON_BR_2.01_p1,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,2.00 경 기 장,2.01,경기장의 설정,1,2,26,28,OFFICIAL,CONFIRMED,a4bf5ca813ae5f59,"[공식야구규칙 2026] 2.00 경 기 장 > 2.01 경기장의 설정 (1/2)
경기장은 다음 요령에 따라 <그림 1·2·3>과 같이 설정한다. 먼저 본루(home plate)의 위치를 정하고, 그 지점부터 2루를 설정하려는 쪽으로 철강재 줄자로 127피트 3⅜인치(38.795m) 거리를 재어 2루의 위치를 정한다. 그 다음 본루와 2루를 기점으로 각각 90피트(27.431m)를 재서 본루부터 오른쪽의 교차점을 1루로 하고 본루부터 왼쪽의 교차점을 3루로 한다. 따라서 1루로부터 3루까지의 거리는 127피트 3⅜인치(38.795m)가 된다. 본루부터의 거리는 항상 1루선과 3루선의 교차점을 기점으로 측정한다. 본루부터 투수판(pitcher's plate)을 지나 2루를 향한 선은 동북동을 향하는 것이 바람직하다. 90피트(27.431m) 평방의 내야를 만들려면 먼저 각 베이스 라인 및 홈 플레이트를 동일 수평면상에 설정하고 이어서 내야의 중앙 부근에 본루부터 10인치(25.4cm) 이내의 높이가 되도록 흙을 쌓아올려 그곳에 투수판을 설치하고 투수판 앞 6인치(15.2cm) 되는 지점부터 본루를 향해 6피트(182.9cm) 되는 지점까지 완만한 경사가 지도록 해야 하며, 기울기는 1피트(30.5cm) 당 1인치(2.54cm)로 일정해야 한다. 본루 뒤편지역은 본루 뒤쪽 끝에서 백스톱까지의 거리가 60피트(18.288m) 이상이 되도록 권장하나, 쾌적한 관람 환경 조성을 목적으로 단축하는 경우라도 반드시 45피트(13.716m) 이상을 유지해야 한다. 베이스 라인에서부터 파울지역에 있는 펜스, 스탠드 또는 정상적인 플레이를 못하게 하는 시설까지의 거리는 60피트(18.288m) 이상이 되어야 한다. <그림 1 참조>외야는 <그림 1>과 같이 1루선과 3루선을 연장한 파울 라인 안쪽 지역이다. 본루부터 페어지역에 있는 펜스, 스탠드 또는 정상적인 플레이를 못하게 하는 시설까지의 거리는 250피트(76.199m) 이상을 필요로 하지만 양쪽 파울 라인은 320피트(97.534m), 중앙은 400피트(121.918m) 이상이 되어야 이상적이다.
워닝트랙은 그라운드의 둘레에 설치되어야 하며, 폭은 최소 15피트(약 4.6m)를 유지해야 한다. 워닝트랙은 잔디와 시각적(예를 들면 색상)으로나 촉감의 차이를 두어야 한다. 이는 천연잔디 또는 인조잔디에 모두 적용된다. 파울 라인을 포함한 내야 및 외야는 페어지역이고, 그 밖의 지역은 파울지역이다.
포수석, 타자석, 코치석, 1루 쪽 3피트선(three feet first base line) 및 대기타석(next batter’s box)은 <그림 1·2>와 같이 그린다.
그림 중 파울 라인 및 굵은 선으로 표시된 모든 선은 페인트나 무독성의 불연성 분필가루 또는 기타 흰색 재료로 그린다. <그림 1>의 잔디선(grass line) 및 잔디의 넓이는 여러 구장에서 사용되고 있는 규격을 표시한 것이나, 그 규격은 반드시 강요되는 것은 아니고, 각 구장의 사정에 따라 잔디 및 잔디 없는 지면의 넓이와 모양을 정할 수 있지만, KBO에서는 본루와 1루 사이의 파울 라인을 따라 이어지는 페어지역 내 내야 흙의 범위는 1루 파울 라인으로부터 최소 18인치(약 45.72cm), 최대 24인치(약 60.96cm)의 범위 내에 있어야 한다."
RULE_COMMON_BR_2.01_p2,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,2.00 경 기 장,2.01,경기장의 설정,2,2,26,28,OFFICIAL,CONFIRMED,b1721631e14ee73b,"[공식야구규칙 2026] 2.00 경 기 장 > 2.01 경기장의 설정 (2/2)
[부기] ① 1958년 6월 1일 이후 프로야구를 위해 건설하는 경기장은 본루부터 좌우의 펜스, 스탠드 또는 좌우의 페어지역에 정상적인 플레이를 못하게 하는 시설까지의 거리는 325피트(99.058m), 센터 펜스까지의 거리는 400피트(121.918m)를 필요로 한다.
② 1958년 6월 1일 이후 현재의 경기장을 개조할 때는 본루부터 좌우 펜스 및 센터 펜스까지의 거리를 ①항에서 지정한 거리 이하로 단축해서는 안 된다.
[주1] 우리나라에서 1991년 이후 경기장을 개조할 때는 본루부터 좌우 펜스의 거리를 91m, 센터 펜스까지의 거리는 105m 이하로 해서는 안 된다.
[주2] 파울폴(foul pole)은 흰색이어야 하나 판별하기 좋도록 다른 색을 사용해도 된다. 파울 라인을 그을 때는 나무 또는 기타 단단한 재료를 사용해서는 안 된다.
[주3] [아마추어 야구] 연식야구경기장 규격은 연식야구공과 배트의 상호 특성과 어깨보호를 위해 나이 구간별로 설정한다.
U-8 : 투수판과 본루 간 거리 10m, 베이스 간 거리 15m, 좌·우 30m 이상U-10 : 투수판과 본루 간 거리 12m, 베이스 간 거리 17m, 좌·우 40m 이상U-12 : 투수판과 본루 간 거리 14m, 베이스 간 거리 18.19m, 좌·우 50m 이상U-15 : 투수판과 본루 간 거리 16m, 베이스 간 거리 23m, 좌·우 60m 이상U-16세 이상 선택 구간 (1, 2, 3)
1. 투수판과 본루 간 거리 17m, 베이스 간 거리 25m, 좌·우 65m 이상
2. 투수판과 본루 간 거리 18m, 베이스 간 거리 27m, 좌·우 70m 이상
3. 투수판과 본루 간 거리 18.44m, 베이스 간 거리 27.43m, 좌·우 70m 이상"
RULE_COMMON_BR_2.02,RULE,BASEBALL_RULES,2026_KBO야구규칙.pdf,2026,ARTICLE,2.00 경 기 장,2.02,본루,1,1,28,28,OFFICIAL,CONFIRMED,ffe835804d32d95f,"[공식야구규칙 2026] 2.00 경 기 장 > 2.02 본루
본루(home base)는 5각형의 흰색 고무판으로 표시한다. 홈 플레이트를 만들고 설치하는 요령은 다음과 같다.
⒜ 먼저 한 변의 길이가 17인치(43.2cm)인 정사각형의 모양을 만들고
⒝ 한 변을 골라 그 변과 직각을 이룬 양쪽 변에 길이 8.5인치(21.6cm) 인 지점을 정한 다음 ⒞ 그 지점에서 밑변의 중심점까지 연결하는 12인치(30.5cm)의 변을 만든다. ⒟ 이로써 이등변 삼각형의 두 귀퉁이를 잘라내면 5각형의 홈 플레이트가 완성된다. 12인치(30.5cm)의 두 변이 만나는 꼭짓점을 본루~1루선, 본루~3루선의 교차점과 일치시키고, 17인치(43.2cm)의 변은 투수판과 평행이 되게 하고, 12인치(30.5cm) 짜리 두 변은 1루선 및 3루선에 일치시킨다. 이렇게 자리를 잡고 나서 홈 플레이트의 표면이 지면과 수평이 되도록 고정시킨다. <그림 2 참조>"
